#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1549543482165498624.0000000000,-0.0760652119,-0.1573041908,-0.1601130700
1549543482245498624.0000000000,-0.1384684275,-0.1339836731,-0.1601875219
1549543482325498624.0000000000,-0.1959883444,-0.0978970782,-0.1547589634
1549543482405498624.0000000000,-0.2495720074,-0.0561804618,-0.1498500172
1549543482485498624.0000000000,-0.3001466158,-0.0093789725,-0.1448536508
1549543482565498624.0000000000,-0.3439364938,0.0399340700,-0.1427931354
1549543482645498624.0000000000,-0.3781511771,0.0974469230,-0.1405511693
1549543482725498624.0000000000,-0.4001042106,0.1556362785,-0.1383712096
1549543482805498624.0000000000,-0.4069887966,0.2175342461,-0.1340302974
1549543482885498624.0000000000,-0.3995163741,0.2731319128,-0.1305082875
1549543482965498624.0000000000,-0.3782302426,0.3245206611,-0.1234256842
1549543483045498624.0000000000,-0.3409018368,0.3610987179,-0.1177835541
1549543483125498624.0000000000,-0.2912638470,0.3776584449,-0.1101903453
1549543483205498624.0000000000,-0.2309830423,0.3714004098,-0.1014685537
1549543483285498624.0000000000,-0.1681839996,0.3472616343,-0.0944343751
1549543483365498624.0000000000,-0.1042779759,0.3132330689,-0.0915282764
1549543483445498624.0000000000,-0.0432162232,0.2819103939,-0.0919184619
1549543483525498624.0000000000,0.0149987358,0.2602153653,-0.0974148870
1549543483605498624.0000000000,0.0724200657,0.2595083167,-0.1028654704
1549543483685498624.0000000000,0.1251171731,0.2815294387,-0.1075391938
1549543483765498624.0000000000,0.1653666136,0.3201798278,-0.1160803065
1549543483845498624.0000000000,0.1846213947,0.3692417707,-0.1293895607
1549543483925498624.0000000000,0.1800056737,0.4113012421,-0.1487274644
1549543484005498624.0000000000,0.1544199326,0.4423618182,-0.1675298138
1549543484085498624.0000000000,0.1086753383,0.4604710113,-0.1877283661
1549543484165498624.0000000000,0.0521340516,0.4609690448,-0.2070463258
1549543484245498624.0000000000,-0.0115373212,0.4494608184,-0.2237266056
1549543484325498624.0000000000,-0.0758593356,0.4248617676,-0.2408241156
1549543484405498624.0000000000,-0.1345568633,0.3921631371,-0.2587898803
1549543484485498624.0000000000,-0.1866819929,0.3528055792,-0.2768881943
1549543484565498624.0000000000,-0.2293083695,0.3105495082,-0.2936447835
1549543484645498624.0000000000,-0.2638886143,0.2681707237,-0.3068727910
1549543484725498624.0000000000,-0.2892253415,0.2252718709,-0.3181725152
1549543484805498624.0000000000,-0.3077956736,0.1844504926,-0.3284104378
1549543484885498624.0000000000,-0.3219241745,0.1431622481,-0.3385782953
1549543484965498624.0000000000,-0.3328089879,0.1103679946,-0.3451717578
1549543485045498624.0000000000,-0.3388868936,0.0866023122,-0.3488062448
1549543485125498624.0000000000,-0.3450429944,0.0686176270,-0.3506436959
1549543485205498624.0000000000,-0.3494761790,0.0574977623,-0.3499957603
1549543485285498624.0000000000,-0.3532386564,0.0461288028,-0.3527727720
1549543485365498624.0000000000,-0.3598759667,0.0336983839,-0.3570037252
1549543485445498624.0000000000,-0.3694790794,0.0391781250,-0.3587162084
1549543485525498624.0000000000,-0.3818341458,0.0415972580,-0.3572139661
1549543485605498624.0000000000,-0.3982473929,0.0323682677,-0.3736113709
1549543485685498624.0000000000,-0.4216109803,0.0370552083,-0.3809404381
1549543485765498624.0000000000,-0.4459268400,0.0346277431,-0.4019326087
1549543485845498624.0000000000,-0.4734345455,0.0405888762,-0.4224490780
1549543534485498624.0000000000,-0.1498464835,0.1541437217,-0.4180330240
1549543534565498624.0000000000,-0.1636659551,0.1387206791,-0.3776777503
1549543534645498624.0000000000,-0.1784640112,0.1227050548,-0.3359325918
1549543534725498624.0000000000,-0.1931754079,0.1037458028,-0.2979970478
1549543534805498624.0000000000,-0.2041699941,0.0842964948,-0.2616919998
1549543534885498624.0000000000,-0.2125321785,0.0695705016,-0.2247801281
1549543534965498624.0000000000,-0.2150092441,0.0596242168,-0.1859015531
1549543535045498624.0000000000,-0.2126084306,0.0521697701,-0.1490915523
1549543535125498624.0000000000,-0.2041280257,0.0517291801,-0.1104928980
1549543535205498624.0000000000,-0.1886493501,0.0551749550,-0.0747286212
1549543535285498624.0000000000,-0.1681115513,0.0626466164,-0.0398756048
1549543535365498624.0000000000,-0.1427975526,0.0739846938,-0.0066228415
1549543535445498624.0000000000,-0.1137343026,0.0832123293,0.0210724143
1549543535525498624.0000000000,-0.0825915213,0.0906156707,0.0436920420
1549543535605498624.0000000000,-0.0519121771,0.0930184642,0.0603260416
1549543535685498624.0000000000,-0.0200702587,0.0951342217,0.0731710235
1549543535765498624.0000000000,0.0092454373,0.0983689517,0.0861676131
1549543535845498624.0000000000,0.0404037305,0.0997876145,0.0952559751
1549543535925498624.0000000000,0.0756710788,0.1016612492,0.1061385454
1549543536005498624.0000000000,0.1119566960,0.0998161249,0.1185650643
1549543536085498624.0000000000,0.1460626167,0.0892130447,0.1298435957
1549543536165498624.0000000000,0.1764427911,0.0790554801,0.1397781818
1549543536245498624.0000000000,0.1986487068,0.0596692309,0.1458543346
1549543536325498624.0000000000,0.2107076958,0.0339002906,0.1491202449
1549543536405498624.0000000000,0.2157659830,0.0034465064,0.1486002041
1549543536485498624.0000000000,0.2110325956,-0.0289892113,0.1445499455
1549543536565498624.0000000000,0.1991070005,-0.0607425612,0.1384869804
1549543536645498624.0000000000,0.1799345293,-0.0947718510,0.1297480687
1549543536725498624.0000000000,0.1593303512,-0.1177425241,0.1186942375
1549543536805498624.0000000000,0.1394994055,-0.1332040534,0.1056873034
1549543536885498624.0000000000,0.1162882861,-0.1382044717,0.0928039261
1549543536965498624.0000000000,0.0906953138,-0.1352531337,0.0836330550
1549543537045498624.0000000000,0.0670289611,-0.1232560527,0.0765147205
1549543537125498624.0000000000,0.0416878298,-0.1014665381,0.0711366424
1549543537205498624.0000000000,0.0188157193,-0.0791535179,0.0657244787
1549543537285498624.0000000000,-0.0052798359,-0.0465202501,0.0643018603
1549543537365498624.0000000000,-0.0271628015,-0.0104553147,0.0632426921
1549543537445498624.0000000000,-0.0484018128,0.0263581478,0.0613689130
1549543537525498624.0000000000,-0.0709572282,0.0622624618,0.0570497472
1549543537605498624.0000000000,-0.0953240165,0.0984299139,0.0516283633
1549543537685498624.0000000000,-0.1194671996,0.1296523897,0.0434069881
1549543537765498624.0000000000,-0.1437594846,0.1591098929,0.0314109966
1549543537845498624.0000000000,-0.1666412247,0.1884975885,0.0184249329
1549543537925498624.0000000000,-0.1905109584,0.2144581628,0.0047547530
1549543538005498624.0000000000,-0.2161895603,0.2368751804,-0.0096864107
1549543538085498624.0000000000,-0.2443306204,0.2519242455,-0.0240630715
1549543538165498624.0000000000,-0.2777365935,0.2568701537,-0.0364146049
1549543538245498624.0000000000,-0.3121311542,0.2485475231,-0.0464973355
1549543538325498624.0000000000,-0.3454835755,0.2338642691,-0.0542439068
1549543538405498624.0000000000,-0.3741949462,0.2050076423,-0.0552709349
1549543538485498624.0000000000,-0.3985135749,0.1655949145,-0.0530926996
1549543538565498624.0000000000,-0.4161269915,0.1143717606,-0.0490055212
1549543538645498624.0000000000,-0.4227448136,0.0581645355,-0.0457866036
1549543538725498624.0000000000,-0.4231105985,0.0062608914,-0.0425100353
1549543538805498624.0000000000,-0.4162516949,-0.0424970168,-0.0419319708
1549543538885498624.0000000000,-0.4031064940,-0.0929530976,-0.0398541782
1549543538965498624.0000000000,-0.3880358744,-0.1401395144,-0.0405405951
1549543539045498624.0000000000,-0.3646192167,-0.1850026662,-0.0422629165
1549543539125498624.0000000000,-0.3370870414,-0.2212329255,-0.0413736360
1549543539205498624.0000000000,-0.3040720838,-0.2487336943,-0.0384548492
1549543539285498624.0000000000,-0.2671118808,-0.2651047671,-0.0314684477
1549543539365498624.0000000000,-0.2287809559,-0.2675287895,-0.0178937895
1549543539445498624.0000000000,-0.1916725083,-0.2605548395,-0.0050016997
1549543539525498624.0000000000,-0.1558897257,-0.2409155436,0.0143808573
1549543539605498624.0000000000,-0.1195839539,-0.2185940791,0.0335883820
1549543539685498624.0000000000,-0.0978618390,-0.1702667779,0.0700077234
1549543539765498624.0000000000,-0.0682781696,-0.1416805129,0.0813611859
1549543539845498624.0000000000,-0.0491540965,-0.0974045646,0.0976668254
1549543539925498624.0000000000,-0.0363983673,-0.0580093124,0.1077928249
1549543540005498624.0000000000,-0.0289708304,-0.0199229797,0.1134062222
1549543540085498624.0000000000,-0.0222559404,0.0203092172,0.1150622562
1549543540165498624.0000000000,-0.0138727023,0.0590625768,0.1105009556
1549543540245498624.0000000000,-0.0000885081,0.0922599783,0.0991127137
1549543540325498624.0000000000,0.0167623234,0.1208749509,0.0817629308
1549543540405498624.0000000000,0.0384922862,0.1381068553,0.0608791915
1549543540485498624.0000000000,0.0637160636,0.1472198653,0.0361615358
1549543540565498624.0000000000,0.0911513850,0.1480553752,0.0123359122
1549543540645498624.0000000000,0.1177886188,0.1398417062,-0.0063913344
1549543540725498624.0000000000,0.1394584155,0.1301055560,-0.0206419811
1549543540805498624.0000000000,0.1524270287,0.1191819419,-0.0310542322
1549543540885498624.0000000000,0.1535567518,0.1078238637,-0.0370438480
1549543540965498624.0000000000,0.1419261303,0.0981332064,-0.0395105881
1549543541045498624.0000000000,0.1170411287,0.0902228809,-0.0363021936
1549543541125498624.0000000000,0.0854172047,0.0870858714,-0.0293977649
1549543541205498624.0000000000,0.0521074326,0.0866834498,-0.0201558248
1549543541285498624.0000000000,0.0163403658,0.0901460349,-0.0106271446
1549543541365498624.0000000000,-0.0194081024,0.0930547704,0.0008217767
1549543541445498624.0000000000,-0.0561745446,0.0968575865,0.0104689501
1549543541525498624.0000000000,-0.0918157031,0.1003769367,0.0187503897
1549543541605498624.0000000000,-0.1263942697,0.1010407243,0.0238948265
1549543541685498624.0000000000,-0.1577799565,0.0921411754,0.0279008169
1549543541765498624.0000000000,-0.1842112300,0.0664485157,0.0293172599
1549543541845498624.0000000000,-0.2031409733,0.0331287313,0.0297996446
1549543541925498624.0000000000,-0.2129628037,-0.0046585685,0.0262817105
1549543542005498624.0000000000,-0.2160571559,-0.0376117120,0.0237446930
1549543542085498624.0000000000,-0.2114142929,-0.0658866473,0.0242139638
1549543542165498624.0000000000,-0.2014053618,-0.0896987801,0.0288989717
1549543542245498624.0000000000,-0.1851287388,-0.1059290259,0.0366482665
1549543542325498624.0000000000,-0.1650507750,-0.1082730864,0.0515287940
1549543542405498624.0000000000,-0.1398433826,-0.1046685689,0.0686491087
1549543542485498624.0000000000,-0.1150935600,-0.0895653608,0.0875935933
1549543542565498624.0000000000,-0.0895996168,-0.0685295013,0.1028597736
1549543542645498624.0000000000,-0.0647766957,-0.0418277288,0.1151111796
1549543542725498624.0000000000,-0.0404388934,-0.0111628687,0.1213056077
1549543542805498624.0000000000,-0.0187307149,0.0216855537,0.1222279482
1549543542885498624.0000000000,0.0010820064,0.0587099301,0.1166291423
1549543542965498624.0000000000,0.0169448977,0.1017987196,0.1010537173
1549543543045498624.0000000000,0.0286714094,0.1522435003,0.0788871029
1549543543125498624.0000000000,0.0346489235,0.1968377462,0.0542589559
1549543543205498624.0000000000,0.0357282924,0.2360043259,0.0282942629
1549543543285498624.0000000000,0.0298011058,0.2675638065,0.0009942082
1549543543365498624.0000000000,0.0208149676,0.2952681478,-0.0229478890
1549543543445498624.0000000000,0.0123951978,0.3192935940,-0.0453865908
1549543543525498624.0000000000,0.0051142233,0.3347271059,-0.0664943016
1549543543605498624.0000000000,0.0001619723,0.3388097235,-0.0861106322
1549543543685498624.0000000000,-0.0011121635,0.3358649444,-0.1012105912
1549543543765498624.0000000000,0.0015318440,0.3303207298,-0.1115883744
