#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1549545116403749888.0000000000,0.9180253526,0.2561396642,-1.0602546181
1549545116483749888.0000000000,0.8635546417,0.2578040721,-1.0399455454
1549545116563749888.0000000000,0.8088824107,0.2640430015,-1.0259316627
1549545116643749888.0000000000,0.7482032118,0.2661891614,-1.0079500734
1549545116723749888.0000000000,0.6924396491,0.2741268854,-0.9944885584
1549545116803749888.0000000000,0.6416060052,0.2852809886,-0.9776476599
1549545116883749888.0000000000,0.6013192327,0.2985868729,-0.9586195695
1549545116963749888.0000000000,0.5545393376,0.3096193573,-0.9340414292
1549545117043749888.0000000000,0.5176885689,0.3266935367,-0.9019569266
1549545117123749888.0000000000,0.4813538396,0.3444397043,-0.8651778588
1549545117203749888.0000000000,0.4452415972,0.3625207301,-0.8254311895
1549545117283749888.0000000000,0.4113796261,0.3787983909,-0.7878143876
1549545117363749888.0000000000,0.3718823520,0.3959118645,-0.7516663946
1549545117443749888.0000000000,0.3379403886,0.4099076464,-0.7181636924
1549545117523749888.0000000000,0.3026462574,0.4235605559,-0.6880234647
1549545117603749888.0000000000,0.2718073489,0.4438277528,-0.6624056966
1549545117683749888.0000000000,0.2364895598,0.4662982597,-0.6420577393
1549545117763749888.0000000000,0.1960591586,0.4851822376,-0.6278407152
1549545117843749888.0000000000,0.1474037054,0.5023713652,-0.6173434038
1549545117923749888.0000000000,0.0916970904,0.5185914991,-0.6138991290
1549545118003749888.0000000000,0.0310661357,0.5322153819,-0.6166516896
1549545118083749888.0000000000,-0.0340387049,0.5446907179,-0.6214673720
1549545118163749888.0000000000,-0.0930307958,0.5546738503,-0.6357678469
1549545118243749888.0000000000,-0.1459536295,0.5621652441,-0.6503429977
1549545118323749888.0000000000,-0.1857733706,0.5666439018,-0.6678515096
1549545118403749888.0000000000,-0.2174326322,0.5670270002,-0.6863666549
1549545118483749888.0000000000,-0.2450359392,0.5552635648,-0.7018364974
1549545118563749888.0000000000,-0.2594545001,0.5278720246,-0.7129373433
1549545118643749888.0000000000,-0.2673990491,0.4982779535,-0.7223921168
1549545118723749888.0000000000,-0.2781060396,0.4660136627,-0.7305408386
1549545118803749888.0000000000,-0.2830031356,0.4349667160,-0.7402730192
1549545118883749888.0000000000,-0.2880200312,0.4028285370,-0.7513525352
1549545118963749888.0000000000,-0.2900242325,0.3723333776,-0.7600893408
1549545119043749888.0000000000,-0.2867242875,0.3407264355,-0.7710252342
1549545119123749888.0000000000,-0.2822616648,0.3096353405,-0.7758260642
1549545119203749888.0000000000,-0.2763118080,0.2778328170,-0.7787219476
1549545119283749888.0000000000,-0.2687785788,0.2570719819,-0.7766469700
1549545119363749888.0000000000,-0.2583712581,0.2341793745,-0.7673749503
1549545119443749888.0000000000,-0.2483586391,0.2210300664,-0.7545180928
1549545119523749888.0000000000,-0.2423511474,0.2082658619,-0.7300932619
1549545119603749888.0000000000,-0.2402835530,0.1951310705,-0.6983316559
1549545119683749888.0000000000,-0.2480664749,0.1824872161,-0.6641383165
1549545119763749888.0000000000,-0.2590768763,0.1737040630,-0.6217408161
1549545119843749888.0000000000,-0.2732828448,0.1619657467,-0.5773157537
1549545119923749888.0000000000,-0.2852671986,0.1530666055,-0.5335850423
1549545120003749888.0000000000,-0.2924584960,0.1495154772,-0.4824268192
1549545120083749888.0000000000,-0.2995697620,0.1499463323,-0.4305581694
1549545120163749888.0000000000,-0.3030021493,0.1496884155,-0.3774545656
1549545120243749888.0000000000,-0.3046017819,0.1529739175,-0.3215906586
1549545120323749888.0000000000,-0.3027009530,0.1572678488,-0.2623022103
1549545120403749888.0000000000,-0.2990998091,0.1623771348,-0.2007437102
1549545120483749888.0000000000,-0.2895872641,0.1720659558,-0.1410512424
1549545120563749888.0000000000,-0.2827333100,0.1793525409,-0.0832398124
1549545120643749888.0000000000,-0.2740871803,0.1864434990,-0.0280211841
1549545120723749888.0000000000,-0.2712818498,0.1937622984,0.0219334130
1549545120803749888.0000000000,-0.2716041628,0.2071989603,0.0651568535
1549545120883749888.0000000000,-0.2716624273,0.2196411076,0.1054082887
1549545120963749888.0000000000,-0.2783514395,0.2307639262,0.1377983407
1549545121043749888.0000000000,-0.2907699083,0.2399283659,0.1647055478
1549545121123749888.0000000000,-0.3072161461,0.2506966921,0.1855574169
1549545121203749888.0000000000,-0.3323382337,0.2603852374,0.1995298864
1549545121283749888.0000000000,-0.3650495000,0.2688180353,0.2072070579
1549545121363749888.0000000000,-0.3981210914,0.2714733945,0.2146328989
1549545121443749888.0000000000,-0.4298985252,0.2667607787,0.2175781924
1549545121523749888.0000000000,-0.4596733080,0.2525003817,0.2191851610
1549545121603749888.0000000000,-0.4838032352,0.2261460286,0.2224281264
1549545121683749888.0000000000,-0.5009722727,0.1951644629,0.2262786250
1549545121763749888.0000000000,-0.5132820911,0.1569232440,0.2282085302
1549545121843749888.0000000000,-0.5222436131,0.1188519541,0.2260036506
1549545121923749888.0000000000,-0.5261327589,0.0790833071,0.2195110061
1549545122003749888.0000000000,-0.5237820322,0.0415791999,0.2117604079
1549545122083749888.0000000000,-0.5203783176,0.0057715039,0.2029942555
1549545122163749888.0000000000,-0.5152391552,-0.0289993535,0.1918194324
1549545122243749888.0000000000,-0.5115100060,-0.0616822594,0.1846755827
1549545122323749888.0000000000,-0.5049136889,-0.0892984177,0.1756885791
1549545122403749888.0000000000,-0.4982161444,-0.1114284275,0.1676622176
1549545122483749888.0000000000,-0.4921764604,-0.1228095510,0.1625940450
1549545122563749888.0000000000,-0.4828631677,-0.1179100622,0.1610077344
1549545122643749888.0000000000,-0.4765896084,-0.1004203828,0.1683102046
1549545122723749888.0000000000,-0.4705007428,-0.0810062147,0.1760421459
1549545122803749888.0000000000,-0.4661851657,-0.0601763185,0.1834355288
1549545122883749888.0000000000,-0.4624309984,-0.0403889429,0.1892881758
1549545122963749888.0000000000,-0.4590636563,-0.0176729547,0.1940023577
